path,emotion
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\7d8104f281280a558984d018ac8f22f4.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\55e0a5bde93c20d97b6c1a328b3c482e.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\386b47c6b9cee69e8b380318eb675b9e.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b08c07ff51983bc5cb7d4a6338a2f9df.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\87e8b9e19f674ad662df1ee22d9405b8.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\2c4ece9bc78060699c4f29079c9912cf.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\945a0fcc1e901e1622a9319c1386de2b.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\08f31206c2576e54e1e689d2ea6671ab.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\6329b5ccb4d818130fe3194c3257a04d.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ca43ff0d1396c4e0fe64cbf359a88b64.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\19b900807a0789db7f41dc586ea1344a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\cf84aabaf21ff4eeefed973763a76b5a.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\7beb2ed8f35008432ea9ff9d6fecc5b6.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\1586898f373ce957a6e11b129fd35229.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\c763e155fb92bbb5703c349617e9483d.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\53407785daa3c256a84fbc13f88486db.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\2baa06fc47c1ea4c40669f1db3e3ea3a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\1c067aa1dd02b0dac801269ea854679f.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\4647501ef9ce720d0cde5443a6453d6e.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\7636b6863fcecf5df653c2e788099617.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\79356f0d5a3c612f1f2f1054d07b3426.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\c22bf99e238ea783b0a3cfe159be6125.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\79e7cb08e812cd89374a8d655b5507ae.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\d75e5ceefa4cc77997893a13353ea53d.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\6dd93e999726f6098fec5bac04b4eada.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\5b5f0e03ab81a72110b93e2146b30e9c.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ed64982744b3ad15c18b505487a8eeb7.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\935364d8292953081de19bba31b22853.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\106ebd56e22b3e4aa5b1a67abdd257f9.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\58f886e79d0840bb7d766478a3d70355.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\bad067b311a69850930cf19e4c050499.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\48dcd81ea8fccf380b7c33733b3ecc21.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\10e81ade608e7f63eed9edddf9644b3c.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\91f6d9ef9c47ac805fb8c5790e253609.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\5d7a7ad097f4afd77c9dd056e91433e0.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b13ab934c008b6a1569246e31407b8a7.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\5454321bbad83dea188b5058c855550c.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\88776204e1a59cc6cf5dbca643452eda.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\1857c9d55d2326e8aedd5269dc5afde2.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\00a1cefd85fbe17616de9aa5681bed8d.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\106fcffa9ae1b848d584f3b47ddd6ec9.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\fb0ef865952ceab9569de70f52d8afc7.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\557cf0cf2cf977fe7b23e4c55e686619.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\57651fb28440982b3390afd1b81b093a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\cf6146d8e073c618dffa7d827f9374ec.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\190bbc3a6e29a1191466d23db51e4e5c.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\9619b0d87bb32e1954cf4eaf06de2ae2.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a387988fc47b18ddf2733a2eb4c34985.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\27ce7942c37851fd120ab49ad120ccca.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\3b3e19c290252d58e436bfba9a13d5dd.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a3e86a7fb67175d87a74883284c81a40.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\2fce39f5b33a9c1d18272201f9989ea7.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\51669b03eee8035c307ad1549d03cfbe.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\354ddfd299662139b100f25b373633e7.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f5971c138d9a7dbe591ceab9ffdad378.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\8cfb58f15645023eaba5f5f8017cedd5.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\3844ae80978de76bbcafb27b64322d74.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\dc97f7b8a0f03d501610dea857c7d811.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\c23b77b5fefe2d564cb44a201aae7f1a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\d15862331b8f111d3d941da219e37179.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f6a59e06c4c14a6bb3e3e986baf9eca3.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\73235b42e923ca02b4b19da59da33b99.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\7405388640bc14bbaed11ab443ed3186.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\5a38c3b421730b4eaa68fee36766d009.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\279fa6edae8299fe423e900bb3fc9136.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ca6b4efec25b865dda3942bf13c1df86.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\16f72a6bb9a7fc8ce15a3fdafcf0486b.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\d8289d701aa9420e7175a723e0880651.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\0914ede14ac2794bfb45f5e48e8bf73f.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\38e2b9e65bc3022eb92f01d4924dd36a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\4bbe6103107d2955c985fff674b28188.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\4ba1fe50c5f7998f540c054289957563.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ba76818c7477bd6c2382b266b215e547.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b712b94a88dec645181c83fecf667f9f.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\8606446b73a54eca49b759ba09c00050.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\d9315b121fa7d45d1759fe6d4f59c9fb.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\23d382a9128784f641a85aece208ef8b.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\6b9d192d26b694df4b930951483aa28d.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\92e7df34ef7066a4d3520a9c2ece25ed.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\6c8567736ee166079bbd59a01d16a4f2.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ca2c397346f4fa5aae94397dd806f11e.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f82ba285666638787c15d3fe9e027410.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a241b11ea11661e7e9539dc8c120cae0.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\79dbd03d7d6a6768fae509f8dc8615fb.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\d5527af1dc2dd722dfdd46a9c24144d1.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\dcca0da4cdc41cd989999f5737fe5037.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\27af2ccde706c75227221a7785edb88d.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b27cab632a47bf1aa2814516e436706f.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b0f41044a7a45aa0b3546bee643b1217.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b78d3cdff267b0a129b78b2297211186.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\6850de6ef0f4b0826e1836e5b5c2596a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\1085d1a8dd084295ca47b1c5b6824026.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\8ee75e1088a4fc537a9e19ec532c0e61.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\c45d52b3e7c29c33e1569e0bf2fe576d.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\64668325d2bc5ed9ed21a2757f2b30e1.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f2fdf3523fee3af29686eefbf8bf3a13.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\03339ae7d9cde9b3672724c1ec5ef6fe.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\fca1d71b866ac498896517d82dc2dc5b.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\945f4c8006b358368de310067702e220.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\220ecfced9211f88937490ebffd3c5b4.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\23f73a5528c620fe77be738fbb6fe590.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\1b7ea881e4b892c5f93a1435d71acd4f.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\03e74083fe64f64b2f6f16b3eea69a70.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\24c8ee33618141e3d326a384147b031c.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\e645cad99315f116da419b03be3c964c.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a80a0c667a10eda550c756d4f427fe97.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\2677de4f2ca3471b3421149cf6d96623.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\3429bac9b6f785dfb7cda7d103e56a75.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\affa7cd71dd1e0b1d9d2773ef0c8a81f.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\79825e5757997a923661c5977d19336e.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\2dbffbb031fd8e800cda3f18c3411e30.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\128a10a670ee26960558b9c2f9274a1e.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\d8fdb360295cb5b11eb3c3dd19ec12a7.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\7b5f87c811b8b212c962b27fbf0185be.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f846b3ce3bc22b0cc0ecd85b9777bd4a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\7bf8e95e12752fcbb52a9de325d440d9.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\9a07a123f47863a5f841b35ef66b5f45.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\bfb55e018789cddce874d360bec2a439.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\28ef8876e329eda0a3d8ad59e1e478b8.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f4edd02ef6070fbe755cfc4581f9f592.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ddc8a545a6c99624215cda0049989ffc.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\6e7d8b70909d68a381c46f758683d922.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\6670cb9773a97664a7bf7f97bd517b37.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ddbf768020f198fa1e59960114eb727f.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\e823a64e66bea68da7add1edf07fb2be.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\0976f7f61678d5935e7802fa9869aebe.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\8bd2c56d9a2aefd2dfa0cbe206e2a631.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ff8eb12e5cd8ff286634ac03384a2588.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\698b0c1d252a5fc59b2f078b8c2b8563.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a51535a61e96ea501d771113963684e6.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\94fa70f861c3e369df1843ba1631ce20.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\0d966a020a92f786747fd4aefa03ab0b.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\be83fa5d49517b50df4de585e15813d0.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\0d7e5f8a15adf7340c31a25ddd1fc73b.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\01751f819677379c9b566240914baa40.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\202031d0999e2ef4b670a980167857c7.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ce4baa9f403ddb7d05e3c38a1bc2c120.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\39e5867798e667b2eab61afada2f44d4.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\535e5f6d70773ce5025d2812c069e38c.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b1238e339845b9a3296d02b066538457.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\1a8d629bc25c6fddf680e4d3ec997b26.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\25d928403dad558723a41a86d4db7857.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\8aac430b1d35243f555c96605fdb941d.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\fa71edeb0884991b87831fc9b3cd0233.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\2f51c98b9323f3bff2eb9e08a66a78ba.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\162cd083faab7e60c33ca06d1c2f74d5.wav,angry
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\dd5d1bc8770417edef32334815d6c716.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\5db2c99cceba5fc29f76d4d13e22bfdf.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a4e18256e32ad6669089e0890319c3d3.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\c912f11a71ec4ad7bc91c5b2c46ac23f.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\3915ad64e51a57944b86da5f2b0be9ab.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\256291abd883a73737316e19e7505108.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\977be28f2e98e523d8bc939bb41a9130.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\f1cd8ba4f2837ec67205e0b918100d7b.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\197884309a5a01a1f65a74fd43f92eb2.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\23941111107e2bf8f94000eb03f8bf67.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\42d7e7cce4bb2e55b9de7064005dbbbc.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ed66bd0a7a0a2e587cef08b54d33d0b6.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\937966f177514f535252dc5f32f3c8a7.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\e997aaf8a455a3da409e5a78b8b333e0.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\b197faae0727fbd64b27f05868ac36ed.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\e726f297eb0bde7805d3995c660dd4c9.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\4491c74425a1652aea4c8dbab9a4ca67.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\51c16202696cd171452db5152f0a179c.wav,happy
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\04cb5863c018949266e7d04de79aa1b2.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\e810bbedc5ed97e30e840b1102c0a820.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\af47bbbf4cf17eeda2511bb6c1f28f44.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\2276a44cf417aff1cbf074b8a1dc77f2.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\d3e61bcdbebfa90d919c855401530183.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\48c0484cc7f6ed9bf408f6614a74606a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\be4693b646e0965d57b4185c72fce50a.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\ee7ae0e8c9fe2fa7edeea11b967277b2.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\3e5f50b15210f06d90f99e0097ebc932.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\a12fc6124c569993fd24c99dabc23404.wav,neutral
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\dae5237d30baab2a7d7a3571864cfd30.wav,sad
C:\Users\Svetozar\PycharmProjects\IYA\ml_research\data\crowd\crowd_train\wavs\4b4eaf22a742b3bbf6aaba0c36e33d8e.wav,neutral
