text,label
открой музыку,7
покажи длинное видео на ютубе,21
найди влог на ютубе,21
залочить сессию,0
таскменеджер,4
открой тгшку,11
телеграмчик,11
дату покажи,23
включи передачу на ютубе,21
открой яндекс музыку,7
vpn включить,12
выключи комп,2
включи туториал на ютубе,21
покажи сегодняшнюю дату,23
какое сегодня число и месяц,23
включи видео с котами на ютубе,21
запусти дескорт,10
дызкорд,10
с пути фай,8
режим отдыха,26
глотни фильм,20
запусти мультик,20
включи футбол на ютубе,21
открой дизкорд,10
запусти дискор,10
покажи ролик на ютубе,21
уменьши громкость,16
открыть браузер,5
режим работы,25
подскажи дату,23
spotify открой,8
сделай тише на,16
включи дескорт,10
открой фильм,20
запустить telegram,11
открой клип на ютубе,21
уйди в блок,0
включи мультик,20
включить динамики,18
включи игры на ютубе,21
гит хаб,9
усиль звук,15
найди игры на ютубе,21
пора расслабиться,26
дс,10
выключи компьютер,2
включи приложение ютуб,6
покажи часы,22
покажи кинцо,20
сколько памяти занято,24
спотифайчик,8
плейлист спотифай,8
включи смешные моменты на ютубе,21
усыпи компьютер,1
заткнись,17
открой канал на ютубе,21
найди мультик,20
покажи урок на ютубе,21
открой телегу,11
назови дату,23
громкость вниз,16
запусти интернет,5
выключить полностью,2
найди песню на ютубе,21
запустить музыку яндекс,7
пора поработать,25
мониторинг,24
таск менеджер,4
увеличь громкость на,15
заблокируй компьютер,0
открой спотифай,8
запустить телеграмм,11
тг открыть,11
дис корт запусти,10
запусти проигрыватель,13
включи путешествия на ютубе,21
статус ПК,24
телеграм,11
включи кино,20
найди футбол на ютубе,21
найди животные на ютубе,21
спатефай,8
включи звук обратно,18
скриншот сейчас,14
виндовс медиа,13
дс открыть,10
открой vpn клиент,12
найди фильм на ютубе,21
включи браузер,5
время чилла,26
уменьшить громкость,16
производительность,24
видеоплеер,13
включи трансляцию на ютубе,21
открыть впн,12
впн открыть,12
покажи подкаст на ютубе,21
найди смешное видео на ютубе,21
запустить гитхаб,9
блокировка экрана,0
открой github,9
включи музыку на ютубе,21
дескорд включи,10
сделай блокировку,0
сегодня какой день недели,23
который сейчас час,22
дэзкорд,10
найди мне фильм,20
путифай,8
найди в ютубе,21
открой впн,12
включи влог на ютубе,21
интернет открыть,5
в блок,0
включи обучающее видео на ютубе,21
включи спотик,8
открой ютюб,6
вруби мультик,20
запусти дискорд,10
загруженность,24
отдых,26
опусти громкость на,16
запустить vpn,12
включи длинное видео на ютубе,21
запусти тгшку,11
гид хаб,9
тишина,17
компьютер спать,1
вверх громкость,15
дата на сегодня,23
диз корд,10
убери тишину,18
найди мне на ютубе,21
вруби мультик,20
найди мемы на ютубе,21
перейди на ютуб,6
вруби на ютубе,21
заблокируй рабочий стол,0
открой менеджер задач,4
загрузка процессора,24
громкость на,19
запусти vpn,12
заблокируй ноут,0
дискорд включить,10
