0061|Несколько своих недавних приобретений это прикольные штуки, которые будут классными триггерами.
0062|Лапки. Да-да. Конечно же я знаю об этом тик ток тренде.
0063|Покажу тебе сейчас две. Это вот такая маленькая.
0064|Я заказала несколько лапок, мне кажется в общей сложности, я купила пять штук.
0065|Маленькая лапка. Прозрачная с бантиком и вот такими бубками.
0066|Что-то среднее между анти стрессом и слаймом.
0067|Когда где-то недосмотришь, недоглядишь.
0068|И начинаешь съёмку, например, с какой-то волосинкой прилипшей на лбу.
0069|А потом только во время монтажа замечаешь.
0070|Чтобы потом не было никаких казусов.
0071|И ещё одна моя недавняя покупка это новый предмет, новый триггер.
0072|Дерево акации так и переводится, да.
0073|Ну что ж, солнце моё, самое время ложиться спать.
0074|Конечно же была очень рада побыть с тобой. Пообщаться.
0075|Что-то новенькое тебе рассказать. Ты знаешь, как я это люблю.
0076|А сейчас я хочу.
0077|Чтобы у тебя была возможность хорошенько отдохнуть и восстановить силы.
0078|Я тебя целую.
0079|Здравствуйте! Добрый вечер!
0080|Добро пожаловать в нашу клинику сна.
0081|Можно сказать в наш исследовательский центр.
0082|Я очень рада приветствовать вас. Сегодня мы будем разбираться.
0083|Я просто дам вам некоторые рекомендации по просмотру АСМР.
0084|Но для начала мне, конечно же, нужно записать некоторые ваши данные.
0085|Да, как видите, у нас даже наши.
0086|Хорошо, давайте я запишу.
0087|Да, даже такие мелочи. Всё у нас продумано до мелочей.
0088|Замечали ли вы, сколько вам нужно плюс минус времени для засыпания?
0089|Только на мой нос. Да! На фонарик не нужно!
0090|Сейчас я буду вести пальчиком, и вы должны сказать, когда он исчезнет c вашего поле зрения. Хорошо?
0091|Дальнейших, скажем так, исследований. Да.
0092|Это уже потом без вашего участия. Вот. Ну вы своё разрешение дали, поэтому мы можем собирать такие данные.
0093|Да! Во имя науки! Всё верно.
0094|Вот тут ничего не давит, не жмёт? А вот так? Хорошо.
0095|Здесь тоже всё хорошо с этой сторонки? Замечательно. Так, сейчас я подключу систему.
0096|Просто смотреть, наблюдать за этими блёстками. За этой жидкостью.
0097|И как будто бы погружаться в состояние гипноза.
0098|Такие приятные глазу цвета.
0099|Визуальная составляющая тоже важна в АСМР.
0100|Так, давайте теперь я на вас посмотрю.
0101|Сердцебиение замедляется, это значит, что вы расслаблены.
0102|И потихонечку погружаетесь в сон. Потихоньку засыпаете.
0103|Просмотр АСМР видео обязательно.
0104|Поможет снять вам напряжение, усталость, которую вы накопили за день.
0105|Всегда очень-очень рада видеть. Договорились?
0106|В Польшу ездила в город.
0107|В подростковом возрасте был такой период, несколько лет, когда я была типа рокершей.
0108|Да я рядышком, что я тебя крепко-крепко-крепко обнимаю.
0109|Я не была прям неформалкой или там готом, вот просто я слушала рок.
0110|Так немножко мрачновато одевалась, подводила себе глазки.
0111|Он прошёл просто великолепно, поездка замечательная.
0112|Тяжёлых дороги, но всё остальное мне очень-очень понравился концерт.
0113|Я была в полном восторге.
0114|Просто от осознания того, что я вижу Мэрлина Мэнсона.
0115|Вот он передо мной. Я видела, как он перед концертом поднимался на сцену.
0116|Как он готовился вот к этой вступительной песне. Видела, как он в конце концерта уходил со сцены.
0117|Это всё было так волнительно и я как будто бы находилась во сне.
0118|Вот, поэтому поездка оставила прекрасное впечатления, воспоминания.
0119|Если интересно, то у меня есть в моём инстаграм, в хайлайтс кружочек актуальное, там есть немножко фото и видео.
0120|Где-то здесь я вставлю фотку возле стадиона.
0121|Я ужасно сокучилась по дому.
0122|Поскорее обнять их, поцеловать.
0123|Я купила буквально две вещи себе.
0124|Я понимала, что много набирать точно не надо, поэтому я купила, конечно же.
0125|Конечно же, я купила себе футболку-мерч на концерте.
0126|Она не самого лучшего качества.
0127|Такая достаточно тоненькая. Это размер эм.
0128|То есть всё как полагается офишиал.
0129|Футболка прикольная, мягенькая.
0130|Я была подростком, я не хотела замуж в тот момент. Я просто смотрела на него и думала вот бы мне в будущем с ним быть.
0131|Он щас очень классно выглядит. Так вот прям подкачался, похудел.
0132|Она как раз находится в самом центре.
0133|Там есть всё: магазины, кафешки, рестораны, какие-то красивые арт инсталляции.
0134|Второй раз я выезжала из Украины, с начиная с двадцать второго года.
